"_Imputation_","Parameter","Effect"
1,"Prm1","time"
1,"Prm2","age"
1,"Prm3","side2"
1,"Prm4","time*side2"
1,"Prm5","time*age"
1,"Prm6","Prm6"
1,"Prm7","Prm7"
2,"Prm1","time"
2,"Prm2","age"
2,"Prm3","side2"
2,"Prm4","time*side2"
2,"Prm5","time*age"
2,"Prm6","Prm6"
2,"Prm7","Prm7"
3,"Prm1","time"
3,"Prm2","age"
3,"Prm3","side2"
3,"Prm4","time*side2"
3,"Prm5","time*age"
3,"Prm6","Prm6"
3,"Prm7","Prm7"
4,"Prm1","time"
4,"Prm2","age"
4,"Prm3","side2"
4,"Prm4","time*side2"
4,"Prm5","time*age"
4,"Prm6","Prm6"
4,"Prm7","Prm7"
5,"Prm1","time"
5,"Prm2","age"
5,"Prm3","side2"
5,"Prm4","time*side2"
5,"Prm5","time*age"
5,"Prm6","Prm6"
5,"Prm7","Prm7"
6,"Prm1","time"
6,"Prm2","age"
6,"Prm3","side2"
6,"Prm4","time*side2"
6,"Prm5","time*age"
6,"Prm6","Prm6"
6,"Prm7","Prm7"
7,"Prm1","time"
7,"Prm2","age"
7,"Prm3","side2"
7,"Prm4","time*side2"
7,"Prm5","time*age"
7,"Prm6","Prm6"
7,"Prm7","Prm7"
8,"Prm1","time"
8,"Prm2","age"
8,"Prm3","side2"
8,"Prm4","time*side2"
8,"Prm5","time*age"
8,"Prm6","Prm6"
8,"Prm7","Prm7"
9,"Prm1","time"
9,"Prm2","age"
9,"Prm3","side2"
9,"Prm4","time*side2"
9,"Prm5","time*age"
9,"Prm6","Prm6"
9,"Prm7","Prm7"
10,"Prm1","time"
10,"Prm2","age"
10,"Prm3","side2"
10,"Prm4","time*side2"
10,"Prm5","time*age"
10,"Prm6","Prm6"
10,"Prm7","Prm7"
